Dvina	64.569   40.548	Gan-Brah	23.225   90.633	MacKenzie	69.450 -134.150	Mekong	9.617  106.250	Miss	29.113  -89.263	Niger	4.396    6.070	Nile	31.446   30.387	Parana	-92.454	Waipaoa	-38.708  177.940	Yellow	37.771  119.180	Ganges	22.312   91.001	Song Hong	20.262  106.575	Po	44.908   12.480	Rhine Meuse	52.005    4.082	Tama	35.630  139.798	Trinity	29.780  -94.733
-4	6.863	-4	1.341	-4	-4.689	-4	1.787	-4	-8.453	-4	-0.762	-4	-1.451	-4	2.112	-4	0.675	-4	1.641	-4	1.065	-4	1.579	-4	-0.749	-4	1.407	-4	0.723	-4	-6.988
-3.75	6.567	-3.75	1.374	-3.75	-3.949	-3.75	1.752	-3.75	-7.725	-3.75	-0.543	-3.75	-1.189	-3.75	2.056	-3.75	0.732	-3.75	1.657	-3.75	1.13	-3.75	1.606	-3.75	-0.516	-3.75	1.492	-3.75	0.749	-3.75	-6.392
-3.5	6.198	-3.5	1.345	-3.5	-3.336	-3.5	1.656	-3.5	-7.078	-3.5	-0.397	-3.5	-0.996	-3.5	1.949	-3.5	0.73	-3.5	1.607	-3.5	1.129	-3.5	1.569	-3.5	-0.357	-3.5	1.499	-3.5	0.731	-3.5	-5.871
-3.25	5.78	-3.25	1.276	-3.25	-2.819	-3.25	1.521	-3.25	-6.488	-3.25	-0.301	-3.25	-0.855	-3.25	1.818	-3.25	0.69	-3.25	1.513	-3.25	1.085	-3.25	1.487	-3.25	-0.251	-3.25	1.452	-3.25	0.676	-3.25	-5.398
-3	5.367	-3	1.214	-3	-2.341	-3	1.399	-3	-5.9	-3	-0.205	-3	-0.713	-3	1.696	-3	0.66	-3	1.427	-3	1.047	-3	1.412	-3	-0.145	-3	1.404	-3	0.635	-3	-4.922
-2.75	4.946	-2.75	1.147	-2.75	-1.909	-2.75	1.274	-2.75	-5.328	-2.75	-0.122	-2.75	-0.585	-2.75	1.574	-2.75	0.625	-2.75	1.334	-2.75	1.002	-2.75	1.331	-2.75	-0.054	-2.75	1.342	-2.75	0.639	-2.75	-4.456
-2.5	4.512	-2.5	1.07	-2.5	-1.539	-2.5	1.142	-2.5	-4.78	-2.5	-0.058	-2.5	-0.474	-2.5	1.446	-2.5	0.583	-2.5	1.227	-2.5	0.945	-2.5	1.237	-2.5	-0.002	-2.5	1.263	-2.5	0.61	-2.5	-4.007
-2.25	4.091	-2.25	1.005	-2.25	-1.193	-2.25	1.028	-2.25	-4.225	-2.25	0.014	-2.25	-0.359	-2.25	1.331	-2.25	0.554	-2.25	1.133	-2.25	0.899	-2.25	1.157	-2.25	0.064	-2.25	1.19	-2.25	0.593	-2.25	-3.548
-2	3.587	-2	0.857	-2	-0.975	-2	0.829	-2	-3.768	-2	-0.006	-2	-0.333	-2	1.148	-2	0.445	-2	0.953	-2	0.768	-2	0.991	-2	0.039	-2	1.038	-2	0.486	-2	-3.181
-1.75	3.092	-1.75	0.715	-1.75	-0.783	-1.75	0.657	-1.75	-3.313	-1.75	-0.028	-1.75	-0.31	-1.75	0.971	-1.75	0.344	-1.75	0.818	-1.75	0.641	-1.75	0.83	-1.75	0.016	-1.75	0.883	-1.75	0.385	-1.75	-2.812
-1.5	2.615	-1.5	0.589	-1.5	-0.607	-1.5	0.509	-1.5	-2.85	-1.5	-0.039	-1.5	-0.278	-1.5	0.81	-1.5	0.257	-1.5	0.681	-1.5	0.528	-1.5	0.686	-1.5	0.002	-1.5	0.736	-1.5	0.303	-1.5	-2.431
-1.25	2.14	-1.25	0.46	-1.25	-0.464	-1.25	0.362	-1.25	-2.398	-1.25	-0.059	-1.25	-0.254	-1.25	0.647	-1.25	0.17	-1.25	0.535	-1.25	0.412	-1.25	0.537	-1.25	-0.018	-1.25	0.585	-1.25	0.217	-1.25	-2.056
-1	1.673	-1	0.335	-1	-0.345	-1	0.223	-1	-1.95	-1	-0.081	-1	-0.232	-1	0.489	-1	0.088	-1	0.392	-1	0.298	-1	0.393	-1	-0.04	-1	0.433	-1	0.135	-1	-1.682
-0.75	1.22	-0.75	0.219	-0.75	-0.243	-0.75	0.135	-0.75	-1.5	-0.75	-0.099	-0.75	-0.206	-0.75	0.34	-0.75	0.014	-0.75	0.265	-0.75	0.192	-0.75	0.258	-0.75	-0.056	-0.75	0.288	-0.75	0.065	-0.75	-1.302
-0.5	0.777	-0.5	0.107	-0.5	-0.164	-0.5	0.039	-0.5	-1.054	-0.5	-0.118	-0.5	-0.182	-0.5	0.196	-0.5	-0.055	-0.5	0.142	-0.5	0.089	-0.5	0.126	-0.5	-0.073	-0.5	0.145	-0.5	-0.003	-0.5	-0.924
-0.25	0.338	-0.25	-0.006	-0.25	-0.109	-0.25	-0.06	-0.25	-0.617	-0.25	-0.142	-0.25	-0.163	-0.25	0.051	-0.25	-0.124	-0.25	0.015	-0.25	-0.017	-0.25	-0.006	-0.25	-0.094	-0.25	-0.001	-0.25	-0.071	-0.25	-0.551
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
