Dvina 		Ganges-Brahmaputra		MacKenzie		Mekong		Mississippi		Niger		Nile		Parana		Waipaoa		Yellow
    -7.500    -1.663		    -7.500     4.233		    -7.500   -40.393		    -7.500     4.371		    -7.500   -14.130		    -7.500    -1.689		    -7.500    -2.993		    -7.500     6.367		    -7.500     1.547		    -7.500     4.316
    -7.000    -0.773		    -7.000     4.636		    -7.000   -34.691		    -7.000     4.881		    -7.000   -11.510		    -7.000    -0.599		    -7.000    -1.705		    -7.000     6.473		    -7.000     2.361		    -7.000     4.773
    -6.500    -0.196		    -6.500     4.478		    -6.500   -29.634		    -6.500     4.803		    -6.500    -9.347		    -6.500    -0.072		    -6.500    -0.954		    -6.500     5.997		    -6.500     2.613		    -6.500     4.622
    -6.000     0.035		    -6.000     4.082		    -6.000   -25.472		    -6.000     4.443		    -6.000    -7.822		    -6.000     0.117		    -6.000    -0.573		    -6.000     5.412		    -6.000     2.592		    -6.000     4.227
    -5.500     0.082		    -5.500     3.464		    -5.500   -21.768		    -5.500     3.814		    -5.500    -6.571		    -5.500     0.031		    -5.500    -0.480		    -5.500     4.552		    -5.500     2.276		    -5.500     3.562
    -5.000     0.155		    -5.000     2.961		    -5.000   -18.446		    -5.000     3.305		    -5.000    -5.457		    -5.000     0.005		    -5.000    -0.365		    -5.000     3.851		    -5.000     2.024		    -5.000     3.027
    -4.500     0.189		    -4.500     2.514		    -4.500   -15.516		    -4.500     2.843		    -4.500    -4.491		    -4.500    -0.015		    -4.500    -0.277		    -4.500     3.244		    -4.500     1.786		    -4.500     2.545
    -4.250     0.229		    -4.250     2.333		    -4.250   -14.113		    -4.250     2.653		    -4.250    -4.023		    -4.250     0.004		    -4.250    -0.213		    -4.250     3.002		    -4.250     1.696		    -4.250     2.349
    -4.000     0.268		    -4.000     2.167		    -4.000   -12.786		    -4.000     2.478		    -4.000    -3.584		    -4.000     0.029		    -4.000    -0.151		    -4.000     2.767		    -4.000     1.605		    -4.000     2.171
    -3.750     0.242		    -3.750     1.974		    -3.750   -11.604		    -3.750     2.268		    -3.750    -3.228		    -3.750     0.013		    -3.750    -0.137		    -3.750     2.522		    -3.750     1.483		    -3.750     1.968
    -3.500     0.220		    -3.500     1.792		    -3.500   -10.486		    -3.500     2.068		    -3.500    -2.894		    -3.500     0.002		    -3.500    -0.122		    -3.500     2.289		    -3.500     1.366		    -3.500     1.776
    -3.250     0.205		    -3.250     1.630		    -3.250    -9.416		    -3.250     1.887		    -3.250    -2.568		    -3.250     0.004		    -3.250    -0.100		    -3.250     2.078		    -3.250     1.260		    -3.250     1.604
    -3.000     0.181		    -3.000     1.465		    -3.000    -8.420		    -3.000     1.701		    -3.000    -2.277		    -3.000    -0.004		    -3.000    -0.088		    -3.000     1.868		    -3.000     1.145		    -3.000     1.431
    -2.750     0.169		    -2.750     1.338		    -2.750    -7.471		    -2.750     1.553		    -2.750    -1.986		    -2.750     0.018		    -2.750    -0.055		    -2.750     1.701		    -2.750     1.063		    -2.750     1.298
    -2.500     0.156		    -2.500     1.217		    -2.500    -6.575		    -2.500     1.410		    -2.500    -1.716		    -2.500     0.038		    -2.500    -0.024		    -2.500     1.543		    -2.500     0.981		    -2.500     1.173
    -2.250     0.123		    -2.250     1.051		    -2.250    -5.749		    -2.250     1.219		    -2.250    -1.491		    -2.250     0.016		    -2.250    -0.032		    -2.250     1.335		    -2.250     0.856		    -2.250     0.999
    -2.000     0.091		    -2.000     0.896		    -2.000    -4.970		    -2.000     1.038		    -2.000    -1.279		    -2.000    -0.001		    -2.000    -0.038		    -2.000     1.137		    -2.000     0.736		    -2.000     0.857
    -1.750     0.080		    -1.750     0.768		    -1.750    -4.210		    -1.750     0.893		    -1.750    -1.076		    -1.750    -0.002		    -1.750    -0.029		    -1.750     0.972		    -1.750     0.637		    -1.750     0.730
    -1.500     0.062		    -1.500     0.639		    -1.500    -3.500		    -1.500     0.741		    -1.500    -0.894		    -1.500    -0.009		    -1.500    -0.028		    -1.500     0.809		    -1.500     0.533		    -1.500     0.604
    -1.250     0.049		    -1.250     0.520		    -1.250    -2.828		    -1.250     0.598		    -1.250    -0.719		    -1.250    -0.010		    -1.250    -0.023		    -1.250     0.658		    -1.250     0.435		    -1.250     0.488
    -1.000     0.033		    -1.000     0.404		    -1.000    -2.197		    -1.000     0.460		    -1.000    -0.559		    -1.000    -0.012		    -1.000    -0.022		    -1.000     0.511		    -1.000     0.336		    -1.000     0.375
    -0.750     0.026		    -0.750     0.299		    -0.750    -1.593		    -0.750     0.333		    -0.750    -0.401		    -0.750    -0.007		    -0.750    -0.012		    -0.750     0.377		    -0.750     0.251		    -0.750     0.280
    -0.500     0.016		    -0.500     0.194		    -0.500    -1.030		    -0.500     0.226		    -0.500    -0.259		    -0.500    -0.006		    -0.500    -0.009		    -0.500     0.244		    -0.500     0.163		    -0.500     0.181
    -0.250     0.007		    -0.250     0.095		    -0.250    -0.501		    -0.250     0.111		    -0.250    -0.126		    -0.250    -0.004		    -0.250    -0.005		    -0.250     0.119		    -0.250     0.079		    -0.250     0.088
     0.000     0.000		     0.000     0.000		     0.000     0.000		     0.000     0.000		     0.000     0.000		     0.000     0.000		     0.000     0.000		     0.000     0.000		     0.000     0.000		     0.000     0.000
